Region,Year,adolescent_fertility,"Fertility rate, total (births per woman)",gdp_per_capita,school_enrollment_primary,school_enrollment_secondary,school_enrollment_tertiary
East Asia & Pacific,2001,22.2506979536828,1.81003578313633,3769.36851212007,111.869667053223,64.2277374267578,16.5789108276367
East Asia & Pacific,2002,21.8648138729261,1.80020140852998,3796.96423534443,110.580718994141,65.0477066040039,18.2724494934082
East Asia & Pacific,2003,21.4061502870549,1.79234664658466,4142.7074047667,109.329299926758,66.3135223388672,20.0976390838623
East Asia & Pacific,2004,20.8996933455921,1.80848215604991,4610.31976489878,108.170249938965,68.7539672851562,21.7480392456055
East Asia & Pacific,2005,21.2766878580973,1.81378633506923,4882.17307110813,106.698486328125,70.6810989379883,23.0477294921875
East Asia & Pacific,2006,21.6023778073412,1.83053585391286,5136.27826397959,105.938720703125,73.5277481079102,24.3443698883057
East Asia & Pacific,2007,22.3918605794631,1.85330402918726,5697.90478357677,106.371200561523,77.0811614990234,25.266429901123
East Asia & Pacific,2008,23.3595432010376,1.87358168249994,6523.26101444026,106.588920593262,79.7275314331055,25.9758892059326
East Asia & Pacific,2009,24.2785485318186,1.8755416903988,6664.92482590979,106.367767333984,83.85888671875,27.2145500183105
East Asia & Pacific,2010,24.8676067715074,1.85256666917561,7726.91530280402,106.081230163574,85.8504486083984,29.0378608703613
East Asia & Pacific,2011,24.8021184069416,1.84425313249192,8893.53254063017,105.81078338623,87.0839691162109,30.5834007263184
East Asia & Pacific,2012,25.3444040507707,1.9299609317804,9436.8474533018,105.797241210938,87.6653671264648,32.768138885498
East Asia & Pacific,2013,25.169603249648,1.86671190550473,9468.67974552162,105.204513549805,88.582649230957,35.2887382507324
East Asia & Pacific,2014,24.890185154292,1.89568574246225,9695.98311606399,102.412902832031,87.9406280517578,42.344841003418
East Asia & Pacific,2015,23.854944871092,1.83003181484091,9586.05662481986,101.660186767578,88.0643768310547,44.8471984863281
East Asia & Pacific,2016,23.1996578545524,1.88130162415834,9856.66562356527,101.413520812988,87.2739486694336,46.5854110717773
East Asia & Pacific,2017,22.7653394165231,1.89429685385437,10454.5358035249,101.221252441406,87.369499206543,47.1814498901367
East Asia & Pacific,2018,21.7460429921729,1.73283694190791,11312.9085413924,100.902206420898,87.7747802734375,47.9913787841797
East Asia & Pacific,2019,21.4174612313992,1.69204979284288,11484.3410118407,101.007751464844,89.2525787353516,50.0174789428711
East Asia & Pacific,2020,20.7360804108587,1.55967130712509,11487.8328132182,101.505378723145,89.9459686279297,53.1299018859863
East Asia & Pacific,2021,20.2487647530947,1.48942900310414,13141.5286612157,101.735412597656,90.4778823852539,56.4865608215332
East Asia & Pacific,2022,20.1018360800387,1.49002652827402,12909.9187395962,102.152160644531,90.9589767456055,59.6753692626953
East Asia & Pacific,2023,20.1018360800387,1.49002652827402,12927.6838082962,101.654251098633,91.5402603149414,62.0906715393066
European Union,1974,36.5412190363541,2.15832815457419,3680.69868672715,105.551071166992,82.764518737793,20.4936504364014
European Union,1975,36.1191480970078,2.09429058250108,4261.3621559933,105.31413269043,83.5828094482422,21.4252891540527
European Union,1976,35.3152530835656,2.05639137753452,4440.66123864228,105.233909606934,84.4565811157227,22.7137603759766
European Union,1977,34.0074483382822,1.9897242282031,5004.79440762287,104.869270324707,85.4600219726562,23.4043197631836
European Union,1978,32.6528675679546,1.93906744542959,6067.32865024682,104.497360229492,85.9186477661133,24.1129703521729
European Union,1979,31.1672067859764,1.90287059579055,7299.1015523061,103.905082702637,86.4843215942383,24.0465602874756
European Union,1980,30.478185167014,1.8691868877065,8129.46277597245,103.328201293945,87.005989074707,24.4779796600342
European Union,1981,28.8944900700118,1.81844575124789,7066.95175759791,102.696220397949,87.1530914306641,24.6529808044434
European Union,1982,27.8494593858525,1.79477526690697,6795.42660540859,102.815849304199,87.6157836914062,24.9480495452881
European Union,1983,26.3675594880782,1.74937873769868,6589.86073233895,102.744758605957,88.1428070068359,25.0271606445312
European Union,1984,25.4157801639528,1.72896752831208,6335.17246566837,102.740417480469,88.5988235473633,25.4034996032715
